ID Elector,Nombre Completo,DNI,Provincia,Distrito,Edad,Sexo,Mesa de Votación,Dirección
1,Pedro Ccopa Condori,42344811,Paucartambo,Kosñipata,29,M,35,Jr. Los Héroes 880
2,Lucía Quispe Flores,50063554,Canchis,Sicuani,73,F,21,Pasaje Inca 736
3,Lucía Yupanqui Huamán,44961373,La Convención,Quillabamba,18,F,33,Pasaje Inca 719
4,Lucía Ccopa Ccopa,20561236,Canchis,Sicuani,59,F,27,Jr. Los Héroes 598
5,Luis Chávez Mamani,32506233,Urubamba,Urubamba,48,M,39,Pasaje Inca 854
6,José Yupanqui Huamán,66194188,Canchis,San Pablo,26,F,42,Jr. Los Héroes 252
7,María Ccopa Flores,22506017,Calca,Calca,42,M,39,Av. Libertad 898
8,Juan Ccopa Apaza,11761905,La Convención,Quillabamba,63,M,31,Urbanización Sol 777
9,Lucía Ccopa Yupanqui,82201766,Canchis,San Pablo,38,F,37,Urbanización Sol 987
10,José Pérez Condori,28911365,La Convención,Quillabamba,44,F,6,Pasaje Inca 282
11,Pedro Quispe Pérez,75564843,Paucartambo,Colquepata,26,F,41,Pasaje Inca 645
12,Miguel Chávez Apaza,11631336,Paucartambo,Colquepata,39,F,17,Pasaje Inca 379
13,Ana Quispe Mamani,46288588,Quispicanchi,Oropesa,64,F,23,Av. Libertad 334
14,Pedro Pérez Quispe,93737457,Calca,Calca,33,F,46,Jr. Los Héroes 197
15,Miguel Condori Pérez,98021884,Quispicanchi,Andahuaylillas,23,M,31,Jr. Los Héroes 377
16,Carmen Huamán Ccopa,55150220,Quispicanchi,Andahuaylillas,38,M,30,Pasaje Inca 344
17,Carmen Pérez Chávez,63337819,Urubamba,Machu Picchu,66,F,3,Pasaje Inca 406
18,Luis Yupanqui Apaza,13673459,Quispicanchi,Oropesa,63,F,4,Jr. Los Héroes 927
19,Carmen Condori Flores,14854404,Urubamba,Ollantaytambo,74,F,22,Jr. Los Héroes 384
